variable,correlation
v2eldommon,-0.1269892018304703
v3stcensus,-0.12720228959083227
v2lgdsadlo,-0.1297278293311351
v2lgello,-0.13236721230941795
v2lgqugen,-0.13489767936011035
v2smregapp,-0.13545478910279063
v2clgencl,-0.13699532598451927
v2lgbicam,-0.1394285618279064
v2smcamp,-0.14203979934133582
v2regimpoppgroup,-0.14389009449668178
v2lgstafflo,-0.1481591329873121
v2ddspmor,-0.15515021891208883
v2regopploc,-0.15642022814886777
historical,-0.15672464643906048
v2ddsigpci,-0.16033938713580642
v2smprivex,-0.16433456325443965
v2fsuffrage,-0.16732144555752693
v2msuffrage,-0.16732144555752693
v2asuffrage,-0.16732144555752693
v2lgqugent,-0.17837890066475137
v2smorgavgact,-0.17871627908133292
v2ddlexor,-0.18005473254297927
v2smgovshutcap,-0.18009082732002502
v2canuni,-0.1858104250773286
v2regantireg,-0.18642598613630146
v2elboycot,-0.1874332518477551
v2jureform,-0.18854431692172383
v2peasjgen,-0.18873558340572724
v3stnatbank,-0.20363701464500134
v2petersch,-0.2090285292831959
v2smgovcapsec,-0.21055930669819456
v2smgovfilprc,-0.21204946501870636
v2pscohesv,-0.21207129846357034
v2smmefra,-0.21218712729179576
v2pesecsch,-0.21269555593941572
v2smgovfilcap,-0.2156705739188004
v2exl_legitratio,-0.21890526685391581
v2clrgunev,-0.2189806823673908
v2lgintblo,-0.22060944344957856
v2jureview,-0.22262951020848218
v2smpardom,-0.2238739427680294
v2exfemhos,-0.22555565153277993
v2smdefabu,-0.22661116589231703
v2smpolsoc,-0.23360856761497606
v2peasbgen,-0.24101023418867706
v2elffelrbin,-0.25231671159152924
v2smparab,-0.25289962820353123
v2smpolcap,-0.2607750040422863
v2smgovab,-0.2610972472215149
v2elpeace,-0.2678492315571099
v2csgender,-0.26865588222559494
v2smregcon,-0.2696415409145261
v2clgeocl,-0.28040006639272386
v2eldonate,-0.28367762632503857
v2exremhog,-0.28839116003068166
v2csrlgcon,-0.28911863503237695
v2smpolhate,-0.2938558082482674
v2exdfpphs,-0.3019371041869113
v2svinlaut,-0.30251062566209885
v2smgovdom,-0.3077231494723859
v2lginelup,-0.30917789231528076
v2strenarm,-0.3097987802508649
v2lgfemleg,-0.32140466552690455
v2smonper,-0.3249926258904311
v2smregcap,-0.325441511533195
v2pepwrses,-0.3277066769899066
v2strenadm,-0.3284307859135574
v2expathhg,-0.3330980694021653
v2peasbegeo,-0.33479344231164443
v2smonex,-0.33706445192714374
v2elrgstry,-0.3493131767292431
v2exdjdshg,-0.3577597047727644
v2svdomaut,-0.3595279710681255
v2jupack,-0.3729192927168015
v2catrauni,-0.4016410754178051
v2peasjgeo,-0.4116530795781
v2psprbrch,-0.41445736117736615
v2elmulpar,-0.42180567403533736
v2regendtype,-0.42333217040410803
v2pepwrgen,-0.4248478855375009
v2cldmovew,-0.425951098291806
v2exfxtmhs,-0.42842636232037273
v2dlcommon,-0.42925744237952224
v2lglegplo,-0.4295538630252424
v2pepwrgeo,-0.4309881313577785
v2cacritic,-0.43126110565923165
v2pehealth,-0.43642287939106494
v2peasjsoecon,-0.4387433199170301
v2peasbsoc,-0.43922438949849274
v2elpubfin,-0.43946487210805646
v2cldiscw,-0.45042373814444614
v2pepwrsoc,-0.45049398835605026
v2cldmovem,-0.4524351596258887
v2elaccept,-0.4574003371285677
v2clkill,-0.4586247585050807
v2cainsaut,-0.45921634614449586
v2psbars,-0.45940033236536176
v2peapsgen,-0.45964736771151155
v2elfrcamp,-0.46211093196516506
v2psparban,-0.46220562426036527
v2edplural,-0.4644804978411546
v2lgcomslo,-0.46763147108965797
v2peasjsoc,-0.4704625991849868
v2cldiscm,-0.4738274492402169
v2clpolcl,-0.4749977668183163
v2stcritapparm,-0.475637959619943
v2elrgpwr,-0.4758174658319898
v2clstown,-0.4789411292416787
v2clfmove,-0.48900817438056504
v2cafres,-0.49062318283816364
v2ellocpwr,-0.4954634350383346
v2lgfunds,-0.49994932292318245
v2cseeorgs,-0.501604357810268
v2clprptym,-0.5047500181241907
v2psorgs,-0.5049183734776929
v2psoppaut,-0.509526934774939
v2elfrfair,-0.5131233585152506
v2pepwrort,-0.5160439316777227
v2edcritical,-0.5180629636348908
v2lgoppart,-0.5190923504107632
v2csrlgrep,-0.5247482856743667
v2jupurge,-0.527819582258207
v2casurv,-0.5319036889018051
v2pscnslnl,-0.5341148965099675
v2capolit,-0.5342617190576043
v2lgqstexp,-0.5368802765501669
v2merange,-0.5390246298614609
